Data,Price,Volume,Players,Events
08-07-2020,"43,99 zł",57688,932283,0
08-08-2020,"28,48 zł",48599,843194,0
08-09-2020,"22,20 zł",47728,853039,0
08-10-2020,"18,16 zł",45967,893174,0
08-11-2020,"16,25 zł",45196,899024,0
08-12-2020,"14,98 zł",43555,884995,0
08-13-2020,"14,23 zł",43070,876966,0
08-14-2020,"13,56 zł",46246,875455,0
08-15-2020,"13,25 zł",44554,854792,0
08-16-2020,"11,34 zł",47411,877467,0
08-17-2020,"10,01 zł",44304,868256,0
08-18-2020,"9,52 zł",48440,874622,0
08-19-2020,"9,70 zł",47738,876088,0
08-20-2020,"9,75 zł",45238,896082,0
08-21-2020,"9,53 zł",47635,880736,0
08-22-2020,"10,30 zł",46853,872493,0
08-23-2020,"9,09 zł",49366,900146,0
08-24-2020,"8,42 zł",49509,853676,0
08-25-2020,"7,90 zł",53898,870124,0
08-26-2020,"7,87 zł",48431,908704,0
08-27-2020,"7,58 zł",49525,887323,0
08-28-2020,"7,68 zł",51543,898136,0
08-29-2020,"7,58 zł",47715,884184,0
08-30-2020,"6,92 zł",50963,906097,0
08-31-2020,"6,38 zł",50976,888439,0
09-01-2020,"6,36 zł",45849,831180,0
09-02-2020,"6,55 zł",46272,835468,0
09-03-2020,"6,45 zł",44761,838798,0
09-04-2020,"6,66 zł",50004,893954,0
09-05-2020,"6,27 zł",49822,915371,0
09-06-2020,"5,81 zł",52068,921436,0
09-07-2020,"5,78 zł",47492,868058,0
09-08-2020,"5,56 zł",47045,881428,0
09-09-2020,"5,45 zł",48394,874879,0
09-10-2020,"5,81 zł",49090,883198,0
09-11-2020,"5,89 zł",52752,949174,0
09-12-2020,"5,93 zł",56072,980879,0
09-13-2020,"5,79 zł",52875,945582,0
09-14-2020,"5,67 zł",50716,877018,0
09-15-2020,"5,86 zł",50706,862722,0
09-16-2020,"5,99 zł",51649,838981,0
09-17-2020,"5,98 zł",47391,875989,0
09-18-2020,"5,93 zł",53882,933914,0
09-19-2020,"5,88 zł",58182,957983,0
09-20-2020,"5,57 zł",54431,927416,0
09-21-2020,"5,28 zł",49594,842803,0
09-22-2020,"5,17 zł",51432,842089,0
